Node=鄉	9	61
雲	堂	0.043478260869565216	Lu1983.115.1
雲	麗	0.043478260869565216	Lu1983.115.1
雲	靡	0.043478260869565216	Lu1983.115.1
雲	縠	0.043478260869565216	Lu1983.115.1
雲	玉	0.043478260869565216	Lu1983.115.1
雲	芳	0.043478260869565216	Lu1983.115.1
雲	觴	0.043478260869565216	Lu1983.115.1
雲	觴	0.1111111111111111	Lu1983.130.1
雲	鄰	0.1111111111111111	Lu1983.130.1
雲	房	0.1111111111111111	Lu1983.130.1
雲	光	0.1111111111111111	Lu1983.130.1
雲	興	0.1111111111111111	Lu1983.130.1
雲	承	0.1111111111111111	Lu1983.130.1
雲	驤	0.1111111111111111	Lu1983.130.1
雲	遺	0.1111111111111111	Lu1983.130.1
雲	歸	0.1111111111111111	Lu1983.130.1
雲	文	0.5	Lu1983.166.1
雲	年	0.5	Lu1983.166.1
雲	君	1.0	Lu1983.178.1
Node=逝	4	13
逝	何	1.0	Lu1983.003.1
逝	窮	0.2	Lu1983.035.1
逝	路	0.2	Lu1983.035.1
逝	死	0.2	Lu1983.035.1
逝	喜	0.2	Lu1983.035.1
逝	閱	0.2	Lu1983.035.1
逝	大	0.2	Lu1983.140.1
逝	為	0.2	Lu1983.140.1
逝	梁	0.2	Lu1983.140.1
逝	望	0.2	Lu1983.140.1
逝	歸	0.2	Lu1983.140.1
逝	微	0.5	Lu1983.151.1
逝	蘭	0.5	Lu1983.151.1
Node=聲	10	78
聲	生	1.0	Lu1983.004.1
聲	生	0.14285714285714285	Lu1983.169.2
聲	生	0.1	Lu1983.399.1
聲	生	0.1111111111111111	Lu1983.535.9
聲	韋	0.02702702702702703	Lu1983.038.1
聲	綏	0.02702702702702703	Lu1983.038.1
聲	常	0.02702702702702703	Lu1983.038.1
聲	翔	0.02702702702702703	Lu1983.038.1
聲	裔	0.02702702702702703	Lu1983.038.1
聲	世	0.02702702702702703	Lu1983.038.1
聲	夷	0.02702702702702703	Lu1983.038.1
聲	祗	0.02702702702702703	Lu1983.038.1
聲	鄒	0.02702702702702703	Lu1983.038.1
聲	侯	0.02702702702702703	Lu1983.038.1
聲	聞	0.02702702702702703	Lu1983.038.1
聲	訓	0.02702702702702703	Lu1983.038.1
聲	奐	0.02702702702702703	Lu1983.038.1
聲	館	0.02702702702702703	Lu1983.038.1
聲	東	0.02702702702702703	Lu1983.038.1
聲	從	0.02702702702702703	Lu1983.038.1
聲	理	0.02702702702702703	Lu1983.038.1
聲	子	0.02702702702702703	Lu1983.038.1
聲	師	0.02702702702702703	Lu1983.038.1
聲	輝	0.02702702702702703	Lu1983.038.1
聲	兄	0.02702702702702703	Lu1983.038.1
聲	形	0.02702702702702703	Lu1983.038.1
聲	形	0.1111111111111111	Lu1983.202.4
聲	京	0.02702702702702703	Lu1983.038.1
聲	同	0.02702702702702703	Lu1983.038.1
聲	庸	0.02702702702702703	Lu1983.038.1
聲	隊	0.02702702702702703	Lu1983.038.1
聲	招	0.02702702702702703	Lu1983.038.1
聲	顏	0.02702702702702703	Lu1983.038.1
聲	蠻	0.02702702702702703	Lu1983.038.1
聲	作	0.02702702702702703	Lu1983.038.1
聲	度	0.02702702702702703	Lu1983.038.1
聲	而	0.02702702702702703	Lu1983.038.1
聲	尤	0.02702702702702703	Lu1983.038.1
聲	辭	0.02702702702702703	Lu1983.038.1
聲	視	0.02702702702702703	Lu1983.038.1
聲	履	0.02702702702702703	Lu1983.038.1
聲	清	0.2	Lu1983.114.1
聲	庭	0.2	Lu1983.114.1
聲	庭	0.1111111111111111	Lu1983.535.9
聲	冥	0.2	Lu1983.114.1
聲	旌	0.2	Lu1983.114.1
聲	聽	0.2	Lu1983.114.1
聲	聽	0.1111111111111111	Lu1983.535.9
聲	刑	0.14285714285714285	Lu1983.169.2
聲	城	0.14285714285714285	Lu1983.169.2
聲	城	0.1	Lu1983.399.1
聲	煢	0.14285714285714285	Lu1983.169.2
聲	鳴	0.14285714285714285	Lu1983.169.2
聲	鳴	0.1111111111111111	Lu1983.202.4
聲	鳴	0.1111111111111111	Lu1983.535.9
聲	情	0.14285714285714285	Lu1983.169.2
聲	情	0.1111111111111111	Lu1983.202.4
聲	情	0.1111111111111111	Lu1983.535.9
聲	縈	0.14285714285714285	Lu1983.169.2
聲	靈	1.0	Lu1983.177.1
聲	鈴	0.1111111111111111	Lu1983.202.4
聲	寧	0.1111111111111111	Lu1983.202.4
聲	誠	0.1111111111111111	Lu1983.202.4
聲	瓊	0.1111111111111111	Lu1983.202.4
聲	輕	0.1111111111111111	Lu1983.202.4
聲	卿	1.0	Lu1983.328.1
聲	長	0.1	Lu1983.399.1
聲	幢	0.1	Lu1983.399.1
聲	箱	0.1	Lu1983.399.1
聲	強	0.1	Lu1983.399.1
聲	星	0.1	Lu1983.399.1
聲	星	0.1111111111111111	Lu1983.535.9
聲	傾	0.1	Lu1983.399.1
